item,net profit,time,location
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-245000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-270000,0,null
PLANE_RENTAL,-300000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-192000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
PLANE_RENTAL,-228000,0,null
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-42556.25,0,Denver International Airport
FUEL,-42556.25,0,O'Hare International Airport
FUEL,-42556.25,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-42556.25,0,Dallas/Fort Worth International Airport
FUEL,-332805.35,0,Denver International Airport
FUEL,-35840.10,0,O'Hare International Airport
FUEL,-35840.10,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-35840.10,0,Dallas/Fort Worth International Airport
FUEL,-35840.10,0,Denver International Airport
FUEL,-35840.10,0,O'Hare International Airport
FUEL,-35840.10,0,Hartsfield-Jackson Atlanta International Airport
FUEL,-35840.10,0,Dallas/Fort Worth International Airport
FUEL,-35840.10,0,Denver International Airport
FUEL,-35840.10,0,O'Hare International Airport
FUEL,-35840.10,0,Hartsfield-Jackson Atlanta International Airport
